long,lat
-124.6891956,41.09386341
-124.6906144,41.08997666
-124.6906144,41.08679659
-124.690437,41.08308651
-124.6902597,41.0777864
-124.6906144,41.07407632
-124.6906144,41.07089625
-124.690437,41.06705367
-124.6902597,41.08043646
-124.689905,41.06427111
-124.689905,41.06109105
-124.689905,41.05791098
-124.689905,41.05473091
-124.689905,41.05155084
-124.689905,41.04837077
-124.689905,41.04519071
-124.689905,41.04201064
-124.689905,41.03883057
-124.689905,41.0356505
-124.689905,41.03247044
-124.6891956,41.02876036
-124.6891956,41.02558029
-124.6891956,41.02240022
-124.6881314,41.01746449
-124.6849391,41.09421675
-124.6835203,41.01714428
-124.6806826,41.09439342
-124.6792638,41.01736511
-124.6764261,41.09474676
-124.675362,41.01694111
-124.6742979,41.01312502
-124.6742979,41.00994496
-124.6742979,41.00676489
-124.6741205,41.00259105
-124.6721696,41.09474676
-124.6735885,40.99934473
-124.6735885,40.99616466
-124.6735885,40.9929846
-124.6735885,40.98980453
-124.6735885,40.98662446
-124.6735885,40.98344439
-124.6734111,40.97966806
-124.672879,40.97602423
-124.672879,40.97284417
-124.6725243,40.96878075
-124.672879,40.96661653
-124.6725243,40.96118392
-124.6725243,40.95694383
-124.6725243,40.96330396
-124.6711055,40.95184247
-124.6679132,41.09474676
-124.6664943,40.9511137
-124.6634033,41.09504963
-124.6622378,40.9511137
-124.6601096,41.11665389
-124.6615284,41.11276715
-124.6615284,41.10958708
-124.6615284,41.10640701
-124.6615284,41.10322694
-124.6615284,41.10004687
-124.6611737,41.09580678
-124.6586908,40.95058369
-124.6579814,40.94687361
-124.6579814,40.94369355
-124.6580996,40.93963013
-124.6558531,41.11700724
-124.6572719,40.93627339
-124.6572719,40.93309332
-124.6572719,40.92991325
-124.6572719,40.92673319
-124.6572719,40.92355312
-124.6572719,40.92037305
-124.6572719,40.91719298
-124.6569172,40.91365957
-124.6565625,40.90977282
-124.6565625,40.90659276
-124.6565625,40.90341269
-124.6565625,40.90023262
-124.6565625,40.89705255
-124.6566808,40.89298913
-124.6558531,40.89069242
-124.654789,40.88559106
-124.6515966,41.11700724
-124.6501778,40.88517147
-124.6473402,41.11740474
-124.6459213,40.88539231
-124.6430837,41.11753725
-124.6420196,40.8849683
-124.6409554,40.88115222
-124.6409554,40.87797215
-124.6406007,40.87426207
-124.6407781,40.87075074
-124.6406007,40.86277849
-124.6409554,40.85889174
-124.6406007,40.85535833
-124.6406007,40.85217827
-124.6388272,41.11753725
-124.640246,40.86737192
-124.6406007,40.86525188
-124.640246,40.84882153
-124.640246,40.84564146
-124.6390806,40.84132565
-124.6345707,41.11753725
-124.6345707,40.84087136
-124.6303142,41.11753725
-124.6303142,40.8410922
-124.6260577,41.11753725
-124.6260577,40.84140137
-124.6218013,41.11753725
-124.6218013,40.84140137
-124.6175448,41.11753725
-124.6175448,40.84140137
-124.6132883,41.11753725
-124.6132883,40.84153387
-124.6104506,40.87443874
-124.6118695,40.87055199
-124.6118695,40.86737192
-124.6118695,40.86419185
-124.6118695,40.86101179
-124.6119877,40.85694837
-124.6115148,40.85465165
-124.6111601,40.85147158
-124.6111601,40.84829152
-124.6111601,40.84511145
-124.6090318,41.11806726
-124.6108053,40.84219639
-124.6061942,40.87479208
-124.6047753,41.11806726
-124.6019377,40.87479208
-124.6005188,41.11806726
-124.5977319,40.87551138
-124.5962624,41.11806726
-124.5962624,40.89669921
-124.5976812,40.89281246
-124.5976812,40.8896324
-124.5976812,40.88645233
-124.5975038,40.88214599
-124.5973265,40.88009219
-124.5920059,41.11806726
-124.5920059,40.89705255
-124.5882223,41.11877394
-124.5877494,40.89705255
-124.58704,41.13997439
-124.5885771,41.13520429
-124.5877494,41.13290757
-124.5877494,41.12972751
-124.5877494,41.12662694
-124.5877494,41.12336737
-124.5838476,40.89737056
-124.5827835,41.14032773
-124.5813647,40.90782945
-124.5827835,40.9039427
-124.5827835,40.90076263
-124.578527,41.1405044
-124.5771082,40.90818279
-124.5742705,41.14085774
-124.5728517,40.90818279
-124.5700141,41.14085774
-124.5690682,40.90888947
-124.5671764,40.93008992
-124.5685952,40.92620317
-124.5685952,40.92302311
-124.5685952,40.91984304
-124.5685952,40.91666297
-124.5685952,40.9134829
-124.5657576,41.14085774
-124.5629199,40.93044326
-124.5615011,41.14068107
-124.5586634,40.93044326
-124.5593729,41.13661765
-124.5593729,41.13343759
-124.5593729,41.13025752
-124.5594911,41.1264591
-124.5590181,41.13979772
-124.5586634,41.12363238
-124.5586634,41.12045231
-124.5586634,41.11727224
-124.5586634,41.11409217
-124.5586634,41.11091211
-124.5586634,41.10773204
-124.5586634,41.10455197
-124.5584861,41.10031188
-124.557954,41.09686681
-124.557954,41.09368674
-124.557954,41.09050667
-124.557954,41.0873266
-124.557954,41.08414654
-124.557954,41.08096647
-124.557954,41.0777864
-124.5577767,41.07440758
-124.5571264,41.0700129
-124.5572446,41.06612615
-124.5572446,41.06294608
-124.5568899,41.06020769
-124.5571264,41.05393589
-124.5568899,41.04978414
-124.556417,41.04563238
-124.5565352,41.04174563
-124.5565352,41.03856557
-124.5563578,41.03531925
-124.5561805,41.05685095
-124.5557075,41.03114541
-124.5558258,41.02717032
-124.5558258,41.02399026
-124.5558258,41.02081019
-124.5558258,41.01763012
-124.5558258,41.01445005
-124.5558258,41.01126998
-124.5558258,41.00808992
-124.5558258,41.00490985
-124.5558258,41.00172978
-124.5546603,40.99726254
-124.5551164,40.93084077
-124.5529881,40.94122016
-124.554407,40.93733341
-124.554407,40.93415334
-124.5501505,40.99700385
-124.5487316,40.9415735
-124.545894,40.99722469
-124.5444752,40.9415735
-124.5419922,40.99680068
-124.5403369,40.94197101
-124.5409281,40.9929846
-124.5409281,40.98980453
-124.5409281,40.98662446
-124.5409281,40.98344439
-124.5405734,40.97938097
-124.5409281,40.97721676
-124.5401004,40.97319751
-124.5402187,40.96939909
-124.5402187,40.96621903
-124.5402187,40.96303896
-124.5402187,40.95985889
-124.5402187,40.95641382
-124.5402187,40.95323375
-124.5400413,40.94958992
-124.5395093,40.9460786
