long,lat
-124.8090911,40.9799935
-124.8104786,40.97614879
-124.8104828,40.97300313
-124.809105,40.96959532
-124.8049434,40.98034301
-124.8049578,40.96959532
-124.8007963,40.98034301
-124.8008103,40.96985746
-124.7969943,40.98065758
-124.7970093,40.96943804
-124.7958848,41.03504264
-124.7972723,41.03119794
-124.7971052,41.02693818
-124.7965913,41.02359591
-124.7965955,41.02045025
-124.7965997,41.01730458
-124.7966039,41.01415892
-124.7966081,41.01101325
-124.7966124,41.00786759
-124.7966166,41.00472192
-124.7966208,41.00157625
-124.796279,40.99869273
-124.7958241,40.99432375
-124.7959446,40.99030429
-124.7959489,40.98715862
-124.7959531,40.98401296
-124.7956321,40.96557586
-124.7952917,40.96173116
-124.793913,40.9589787
-124.7917372,41.03539216
-124.789766,40.95884763
-124.7875901,41.03539216
-124.7856189,40.95884763
-124.7841336,41.03578537
-124.7820463,41.04605247
-124.7834338,41.04220777
-124.783438,41.0390621
-124.7821636,40.95832336
-124.7815937,40.95377962
-124.7807914,40.95072133
-124.7794127,40.94796887
-124.7778987,41.04640199
-124.7752654,40.94809994
-124.7737515,41.04640199
-124.7711179,40.94836208
-124.769719,41.04688257
-124.7682078,41.0570623
-124.7697117,41.0523438
-124.7692539,41.05007193
-124.7673169,40.94794266
-124.7662851,40.94416786
-124.7662894,40.9410222
-124.7662936,40.93787653
-124.7662978,40.93473087
-124.766302,40.9315852
-124.7652715,40.9268667
-124.7640602,41.05741181
-124.7607795,40.92634243
-124.759913,41.05741181
-124.7566323,40.92634243
-124.7557658,41.0574555
-124.7528313,40.925923
-124.7516181,41.0578924
-124.7517996,40.9221482
-124.7518038,40.91902875
-124.751808,40.91585687
-124.7516407,40.91172819
-124.7511266,40.90851699
-124.7499957,40.90507174
-124.7474709,41.05793609
-124.745602,40.90484705
-124.7433237,41.05793609
-124.7414549,40.90484705
-124.7391766,41.05793609
-124.7376539,40.90442762
-124.7350295,41.05793609
-124.7366221,40.90065283
-124.7364553,40.89619647
-124.7359411,40.8930508
-124.7359453,40.88990514
-124.735949,40.88715268
-124.7362976,40.8849245
-124.7359565,40.88151669
-124.7359607,40.87837103
-124.7360812,40.87443895
-124.7338952,40.87238553
-124.7308823,41.05793609
-124.7297481,40.87234184
-124.7268497,41.05841668
-124.7253385,41.0685964
-124.7268422,41.06405266
-124.725601,40.87234184
-124.7263847,41.06160603
-124.7211906,41.06920806
-124.7221457,40.87181756
-124.7214594,40.86814762
-124.7214636,40.86500195
-124.7214678,40.86185629
-124.721472,40.85871062
-124.7214762,40.85556496
-124.7204453,40.85117413
-124.7170431,41.0694702
-124.715953,40.85084646
-124.7132411,41.06978476
-124.7118059,40.85084646
-124.7108081,41.08013051
-124.7121956,41.07628581
-124.7121998,41.07314014
-124.7080049,40.85042704
-124.7066605,41.08048003
-124.7069732,40.84665224
-124.7069774,40.84350657
-124.7069816,40.84036091
-124.7069858,40.83721524
-124.7066445,40.8339822
-124.7063033,40.83066177
-124.7063076,40.82751611
-124.7063118,40.82437044
-124.706316,40.82122478
-124.7063201,40.81810532
-124.7063244,40.81493344
-124.7061572,40.81073922
-124.7056434,40.80733142
-124.7056476,40.80418576
-124.7056518,40.80104009
-124.705656,40.79789442
-124.7053148,40.794574
-124.7053212,40.78976812
-124.7053274,40.785137
-124.7048725,40.78076802
-124.7049928,40.77692332
-124.704997,40.77377766
-124.7046555,40.77071937
-124.7025134,41.08048003
-124.7042007,40.76626301
-124.7043213,40.76224355
-124.7043255,40.75909789
-124.7043297,40.75595222
-124.7043339,40.75280655
-124.7043381,40.74966089
-124.7039963,40.74677736
-124.7035415,40.742321
-124.703662,40.73838892
-124.7036662,40.73524326
-124.7025361,40.73119883
-124.6983662,41.08048003
-124.6981426,40.7307869
-124.6942191,41.08048003
-124.6939952,40.73096166
-124.6900719,41.08048003
-124.6898476,40.73131117
-124.685925,41.08030527
-124.6857005,40.73131117
-124.6838568,41.07628581
-124.683861,41.07314014
-124.6838652,41.06999448
-124.6838695,41.06684881
-124.6837024,41.06258906
-124.683507,41.07943147
-124.6831884,41.05924679
-124.6831926,41.05610112
-124.6831968,41.05295545
-124.683201,41.04980979
-124.6832053,41.04666412
-124.6832095,41.04351846
-124.6832137,41.04037279
-124.6832179,41.03722713
-124.682876,41.03447467
-124.6825344,41.03146008
-124.6825386,41.02831441
-124.6825428,41.02516874
-124.6828905,41.02359591
-124.6825489,41.02058132
-124.6815533,40.73131117
-124.6808277,41.01556791
-124.6771589,40.73161076
-124.6763353,41.01529485
-124.6746125,40.75298131
-124.676,40.74913661
-124.6760042,40.74599095
-124.6760084,40.74284528
-124.6758415,40.73845446
-124.6753274,40.73524326
-124.6749867,40.73157331
-124.6721879,41.01546961
-124.6704648,40.75333083
-124.6687327,41.01494533
-124.6680464,41.01127539
-124.6680506,41.00812972
-124.6680548,41.00498406
-124.6677146,41.0009646
-124.6673738,40.99738203
-124.667378,40.99423637
-124.6673822,40.9910907
-124.6673864,40.98794504
-124.6673906,40.98479937
-124.6673948,40.98165371
-124.6672269,40.97798376
-124.6663177,40.75333083
-124.6667138,40.97405168
-124.666718,40.97090602
-124.6668386,40.96688656
-124.6663868,40.96015833
-124.6663928,40.95561459
-124.6660355,40.96435255
-124.6650172,40.95055749
-124.662219,40.75404235
-124.6605253,40.94993492
-124.6607592,40.77500097
-124.6621467,40.77115627
-124.6621508,40.76814167
-124.6621551,40.76486494
-124.6619881,40.76053965
-124.661818,40.75857361
-124.6563782,40.94993492
-124.6566116,40.77535049
-124.6525772,40.94951549
-124.6524645,40.77535049
-124.6515454,40.94574069
-124.651666,40.94172123
-124.650863,40.93918723
-124.6508672,40.93604156
-124.6508714,40.93289589
-124.6508756,40.92975023
-124.6508798,40.92660456
-124.650884,40.9234589
-124.6508882,40.92031323
-124.6508925,40.91716757
-124.6508967,40.9140219
-124.6509009,40.91087624
-124.6507331,40.90714076
-124.6503985,40.89888339
-124.6505785,40.89350954
-124.6502188,40.90406063
-124.6505682,40.9011771
-124.6501238,40.88894396
-124.6488623,40.88466236
-124.6483657,40.77606201
-124.646906,40.79702063
-124.6484098,40.79230213
-124.6479576,40.78590158
-124.647964,40.78111754
-124.6479521,40.79003026
-124.6447156,40.88440022
-124.6427583,40.79737015
-124.6405684,40.88440022
-124.6386112,40.79737015
-124.6367674,40.8839808
-124.6357357,40.880206
-124.6357399,40.87706034
-124.6357441,40.87391467
-124.6352304,40.87040201
-124.6356441,40.86255532
-124.6357648,40.85844848
-124.6354242,40.85469116
-124.6354283,40.85163287
-124.6345125,40.79808167
-124.6350631,40.86631265
-124.6350876,40.84796293
-124.6350918,40.84481727
-124.6339612,40.84114732
-124.6330527,40.81904029
-124.6345566,40.81432179
-124.6341051,40.80733142
-124.6337534,40.81191885
-124.6337655,40.80287506
-124.6295672,40.84114732
-124.6289051,40.8193898
-124.6254197,40.84140946
-124.624758,40.8193898
-124.6216187,40.84099004
-124.6206595,40.81987663
-124.6207032,40.83642882
-124.6199003,40.83380744
-124.6199045,40.83066177
-124.6199087,40.82754232
-124.619913,40.82437044
