boundary_x,boundary_y
347803.0833174251,4538112.1676510945
347677.5014038052,4537687.75865745
347669.9096817587,4537338.544667297
347778.005181791,4536957.818602894
348152.8431777971,4538143.749356131
348126.97595816,4536950.599973239
348501.74873127975,4538136.547152577
348476.57178037637,4536972.499320738
348822.3386209287,4538164.881418282
348795.45187553245,4536919.35042952
349039.8999602371,4544200.645040317
348914.47021012416,4543776.21689459
348918.7777155261,4543303.018779276
348954.3433407056,4542931.078183399
348946.8005391796,4542581.861915259
348939.25813845015,4542232.644709215
348931.71618424624,4541883.428785613
348924.1746308905,4541534.211924104
348916.625114371,4541184.996518119
348909.084408086,4540835.780001128
348901.5441255716,4540486.563656393
348923.7048829865,4540165.851827014
348951.9898405307,4539680.033144047
348932.676059759,4539234.013027678
348925.1320741156,4538884.797661288
348917.59694700746,4538535.583404308
348902.525207796,4536488.20134452
348922.39961719885,4536060.787343385
349032.1517971457,4535752.835779754
349389.3554762867,4544232.279182831
349380.86326988676,4535731.127689403
349737.97009616066,4544225.127834823
349729.88178852433,4535723.986930689
350029.42395298096,4544262.833315473
350228.1710336653,4545399.07779881
350102.8266760962,4544974.630977193
350095.3339620478,4544625.412875224
350019.49146424804,4535659.847482766
350057.16983176296,4535154.440211469
350117.7775929464,4534813.544021104
350227.60108200856,4534505.612730889
350577.5620390555,4545430.766931907
350576.98908461083,4534513.064284618
350926.12654474704,4545423.670371204
350926.68730852136,4534535.082943031
351266.13312360767,4545470.13890871
351416.0582978339,4546597.694792115
351279.0487144279,4546076.420353947
351312.40598959517,4545823.421629999
351245.6868087336,4534482.043808585
351324.06798515946,4534061.224906904
351316.649074894,4533712.0138583565
351309.238976534,4533362.801702363
351301.8293171546,4533013.590829353
351294.42005191336,4532664.379019004
351370.60567983426,4532138.799122259
351765.38475947175,4546629.437812115
351747.66066023655,4532072.970373062
352113.890736828,4546622.396216916
352096.8581662595,4532065.946464256
352462.4942625138,4546620.221578068
352415.97180332034,4532012.960213657
352812.0160668326,4546661.715995671
352494.4465966462,4531592.15799981
352487.1553204992,4531245.858035808
352479.7478575257,4530893.737707927
352484.6568690061,4530435.108857205
352520.81663259753,4530077.749736386
352608.41272604064,4529693.368447924
353160.61637791264,4546659.574512568
352977.98636356567,4529661.030052488
353509.1191560438,4546652.599247028
353327.28828863567,4529654.0677293185
353857.6134242187,4546645.640735271
353646.513840357,4529601.137979483
354206.10758601554,4546638.69880882
353725.10157488484,4529180.353895422
353729.3321259088,4528685.352633479
353765.7189124177,4528335.277025464
353758.4366659802,4527986.069311546
353752.062913207,4527680.51191328
353717.7851187151,4527433.733924375
353739.0192911756,4527054.8469984615
353731.7385451181,4526705.639920315
353712.92645634833,4526269.323384593
353892.6174092203,4526037.71272126
354554.6100450087,4546631.773300789
354241.99409627717,4526025.94810428
354894.5387256158,4546678.409031641
355043.89056092734,4547806.024612632
354907.55979642237,4547304.089973272
354591.46675001644,4526019.050277206
354940.6236819634,4547031.709513668
355393.7358080213,4547867.041471611
354881.4968035505,4525955.113182062
354931.3189927768,4525546.559828672
354924.0979097422,4525197.352707095
354916.8772541868,4524848.146869328
354909.6569824801,4524498.940095078
354902.4371382966,4524149.73460463
354979.7550026935,4523660.58325072
355742.77670000365,4547889.272626927
355357.7249635757,4523616.777149182
356062.9008439461,4547917.9102691775
355707.3103664187,4523609.935193225
356289.8568159919,4549062.458542763
356164.9163982248,4548637.916736084
356157.704550263,4548288.69830737
356026.81255114527,4523557.117373981
356639.0347064958,4549094.431467389
356105.61346853455,4523136.366817959
356098.45307691547,4522787.161211622
356091.29310904373,4522437.956889355
356084.13352167304,4522088.751630881
356105.9170986987,4521729.279683167
356127.50654489116,4521360.106748722
356120.34254399594,4521010.903316516
356113.1873557208,4520661.698783873
356106.0325911434,4520312.495535291
356098.94329874264,4519966.200843104
356091.7242250699,4519614.0873396285
356096.76141237665,4519148.199243848
356132.7366566602,4518769.0453597475
356125.58682605583,4518419.843068942
356118.4373759,4518070.639841928
356111.28832781524,4517721.436788831
356132.9028380567,4517352.267530636
356121.9856274088,4516818.763991392
356111.4635343822,4516304.661099348
356140.418204854,4515818.902860409
356121.96873011015,4515392.2903475175
356114.825541098,4515043.08975366
356137.04763412673,4514703.021394032
356987.40891067183,4549087.618831268
356165.8202059552,4514207.564548123
356146.9720192584,4513761.552939752
356139.8334598258,4513412.353173321
356132.69528085366,4513063.152470671
356125.5575039366,4512713.95194192
356118.4201506551,4512364.752697183
356141.0605111158,4512044.085897873
356169.85528321855,4511548.631337035
356151.20776217524,4511112.321391149
356144.0750038215,4510763.122959396
356230.7954599519,4510312.2922719335
357335.79141175136,4549080.822617807
356600.93255211005,4510259.376566539
357684.1654091298,4549074.043154671
356951.5480708848,4510272.009892135
358032.547703904,4549067.280114823
357302.551977198,4510304.058710571
358380.52944616415,4549041.132697748
357652.7648051531,4510297.325237678
358545.6476294697,4548591.543505942
358538.549386436,4548242.325670761
358531.45155946264,4547893.109120368
