boundary_x,boundary_y
358134.9573991021,4550551.647093691
358007.4255462285,4550122.458941679
358000.57711968076,4549769.414349354
358007.4896049133,4549357.240381009
358010.9731588558,4548768.545397898
357973.1878289556,4548357.2388754655
357966.3415994777,4548004.195175742
357972.9750503289,4547577.312453445
358016.677918616,4549062.748968526
358011.6872828526,4547267.533217163
358004.8453042131,4546914.491195914
357998.0037434129,4546561.44824301
357991.16262198845,4546208.405468619
357984.32193996035,4545855.36287274
357977.4816973493,4545502.32045537
357970.6419156834,4545149.279326676
357963.8025519665,4544796.237266313
357956.9636277283,4544443.19538445
357950.12514298933,4544090.153681085
357943.2871192723,4543737.113266382
357994.9492781031,4543324.077112084
357988.1150573923,4542971.035991988
357981.28127608215,4542617.99505039
358060.1582394552,4542068.315511702
358493.20707584743,4550583.953283302
358447.1943118847,4542025.277766024
358851.07453891344,4550596.663393231
358805.57306141616,4542042.898541034
359209.31729810964,4550629.0044923015
359132.75047786697,4541989.522453787
359214.0986687036,4541564.1567384545
359207.32692653453,4541211.117984864
359200.5555986989,4540858.078299891
359206.58882194385,4540394.4280758
359566.80339542194,4550622.136000372
359244.4233472549,4540033.176154981
359237.65634204564,4539680.13708394
359230.889793646,4539327.099301841
359224.1236595203,4538974.060588361
359217.3579609675,4538621.022053659
359210.59269800805,4538267.983697732
359217.48461925227,4537848.465265986
359254.5040536364,4537443.0851102555
359247.74313349446,4537090.048478489
359268.9514858474,4536638.373804355
359234.5042119038,4536398.683094614
359252.8068748676,4535795.00758805
359243.79701228987,4535324.292133052
359257.31208585296,4536030.364879649
359352.3753639917,4534755.678392396
359924.2809874278,4550615.285142697
359738.9472308232,4534667.362614042
360303.69071276416,4550641.669282681
360097.2113578123,4534660.539717201
360626.01543634065,4553034.854667
360498.66541249305,4552605.627388789
360491.93179575406,4552252.582235794
360485.19861068984,4551899.537261927
360478.46585732047,4551546.492467181
360471.73353566637,4551193.447851557
360492.5470873589,4550722.154411191
360394.64097600715,4534596.028284026
360446.5373140847,4534183.020236543
360439.8406008645,4533829.985624655
360421.3338343252,4533379.073728776
360984.1279505845,4553067.280684119
360483.94762877,4533005.104082462
360477.2552009935,4532652.068975337
360470.5632049057,4532299.034047258
360463.87166156835,4531946.000408369
360457.18052891706,4531592.965838374
360450.4898280149,4531239.931447415
360443.7995588819,4530886.8972354885
360466.2379427819,4530494.071364367
360487.9371334525,4530062.020012804
360481.25118984416,4529708.987526006
360474.5656568821,4529355.954108098
360467.88055561186,4529002.92086922
360461.19588605344,4528649.8878093725
360442.6891093858,4528198.9792685965
360507.59156435676,4527942.692136831
360586.52756376285,4527374.673655087
361341.4927154528,4553060.495918682
360974.15144242696,4527320.757086382
361699.6835726121,4553097.858458916
361333.23280188785,4527338.519686418
362057.3234710004,4553105.819627107
361661.0758989303,4527285.2732559
361742.79405762965,4526859.953744512
361736.17497551045,4526506.922160483
361758.3424718188,4526094.492110497
361736.086913948,4525704.966750746
361734.4507766089,4524819.658794419
361696.4694878226,4524388.737531898
361719.016031316,4523995.921519237
361712.40187134786,4523642.892508819
362414.68504506955,4553099.087268629
361773.8990965069,4525329.031478888
361739.5962162257,4525094.238473128
361735.32136470155,4523269.689773889
361728.7094941994,4522916.660031037
361817.9894226269,4522435.709153553
362772.0465151748,4553092.3723848555
362197.2686665659,4522378.171620158
363129.40788158483,4553085.674975692
362556.5840897187,4522395.999536545
363486.76914456807,4553078.995041052
362916.0790601059,4522423.650665754
363844.12190873723,4553072.332737162
363274.92664801725,4522416.9975086795
364201.4829656754,4553065.687750887
363633.7825561542,4522410.361645577
364558.8439199929,4553059.060238866
363992.9092801333,4522418.452439377
364299.3343245863,4526066.923087431
364171.82425753865,4525637.642475086
364165.32397578564,4525284.612229166
364158.8241143077,4524931.582163109
364152.3246935617,4524578.553387045
364134.0576306945,4524127.643619886
364169.2250499991,4523871.943867691
364192.62770866125,4523518.364373676
364186.13283085206,4523165.336334993
364179.6383528258,4522812.30736604
364917.29170165025,4553111.290726359
364203.59746970877,4522488.147934382
364658.7228978477,4526099.558276349
365274.649574365,4553104.698145797
365017.3980910679,4526092.985272267
365632.0073452794,4553098.123039267
365373.2585058259,4526166.359609576
365989.3566190881,4553091.565560539
365539.989654619,4528516.236360005
365412.5946445449,4528086.93534208
365406.1487220625,4527733.905301674
365399.70319575234,4527380.874331285
365405.9225516829,4526902.539528052
365416.699889919,4526674.267420911
366346.71418721025,4553085.025401403
365899.2599804762,4528548.92893064
366665.7995082298,4553157.680460666
366257.81453995884,4528542.41336436
366807.95194468426,4555509.498748337
366669.2847958711,4554982.284587713
366734.1076003704,4554726.040455122
366727.6705831402,4554372.99703654
366721.394865124,4554028.778600571
366714.7977454078,4553666.90852072
366587.12925433426,4528571.759530524
367165.90346004727,4555542.2228558995
366817.268240907,4529729.056519453
366689.96515626623,4529299.734938796
366683.5779129927,4528946.70352558
367523.4954427823,4555555.3508785665
367176.4715138265,4529761.809845263
367881.44005015824,4555588.109901966
367534.96554472495,4529755.35500554
368238.6649642725,4555581.659470173
367855.0293906382,4529828.083290028
368056.5362936567,4532178.771780657
367929.3399735661,4531749.429924226
367923.00718047854,4531396.398703269
367916.6747761428,4531043.366552903
367910.34278049273,4530690.334583267
367904.01119354717,4530337.302794358
368595.8981720457,4555575.226361848
368415.6128146213,4532211.582671772
368952.7795175918,4555549.1972092
368773.9861439297,4532205.185296922
369123.31311657635,4555094.884182366
369116.99073964485,4554741.841207788
369110.66874784185,4554388.797304132
369093.1957249497,4553967.283539724
369159.4135086888,4555447.395193983
369157.06066185556,4553652.224246455
369150.74279655213,4553299.1809174465
369144.42533615266,4552946.13776954
369138.108280676,4552593.094802733
369131.79165000375,4552240.053127195
369125.47540442843,4551887.010522575
369119.1595638329,4551533.968099046
369125.62840983574,4551062.979199251
369163.47520344215,4550679.718626077
369157.16362231027,4550326.676837623
369150.8524460579,4549973.635230262
369144.54167470394,4549620.593803985
369138.2313281103,4549267.553668963
369131.9213666089,4548914.512604853
369125.6118100628,4548561.4717218205
369133.803541658,4548186.100302214
369179.722452144,4547697.2420324795
369162.0852656616,4547265.926035997
369155.780473014,4546912.886014452
369180.1568598285,4546608.347703859
369147.8523132234,4545912.430513381
369159.49986645335,4545451.164192736
369191.01949773775,4544989.542604509
369173.3859463691,4544558.22822302
369167.08715052035,4544205.190716388
369175.5699446203,4543844.531454934
369233.1175213744,4546234.630817802
369221.9731497028,4543380.194116218
369204.15992518346,4542939.073688091
369197.8658565818,4542586.0370279495
369191.572172929,4542232.999438717
369185.278894037,4541879.962030549
369178.9860199246,4541526.924803437
369172.6935506108,4541173.8877573805
369166.40150589973,4540820.852002532
369160.10984623857,4540467.81531858
369153.81859143276,4540114.778815675
369243.0110547355,4539617.100964743
369073.40838329145,4532243.996793655
369273.0666485329,4533393.070470652
369145.9504160966,4532963.7091301605
369139.6735016841,4532610.676507785
369621.81765803584,4539581.6385639105
369632.076416177,4533425.939228298
369980.2645492066,4539599.808032688
369990.3807872437,4533419.599836933
370307.6112354029,4539546.933649367
370339.52099021163,4533457.582295873
370389.6366884251,4539121.711276387
370383.4072144905,4538768.675802971
370377.1781416262,4538415.640510863
370370.94946985086,4538062.605400058
370392.8328391959,4537610.979171096
370358.7528300688,4537371.246286257
370420.5246636759,4536923.822314236
370403.136599584,4536502.317590264
370396.91298845864,4536149.284588317
370390.68975878647,4535796.250657524
370384.4669301575,4535443.216908025
370377.7259964775,4535060.764531567
370371.5040034145,4534707.731159752
370379.30687392707,4534302.950880728
370417.21930706233,4533912.355586322
